Date,Open,High,Low,Close,Volume
07/01/2022,"136.04","139.04","135.66","138.93","71051555"
06/30/2022,"137.25","138.37","133.77","136.72","98964469"
06/29/2022,"137.46","140.67","136.67","139.23","66242406"
06/28/2022,"142.13","143.42","137.33","137.44","67315328"
06/27/2022,"142.70","143.49","140.97","141.66","70207914"
06/24/2022,"139.90","141.91","139.77","141.66","89116844"
06/23/2022,"136.82","138.59","135.63","138.27","72433766"
06/22/2022,"134.79","137.76","133.91","135.35","73409234"
06/21/2022,"133.42","137.06","133.32","135.87","81000484"
06/17/2022,"130.07","133.08","129.81","131.56","134520297"
06/16/2022,"132.08","132.39","129.04","130.06","107961508"
06/15/2022,"134.29","137.34","132.16","135.43","91532969"
06/14/2022,"133.13","133.89","131.48","132.76","84784328"
06/13/2022,"132.87","135.20","131.44","131.88","122207102"
06/10/2022,"140.28","140.76","137.06","137.13","91566641"
06/09/2022,"147.08","147.95","142.53","142.64","69472977"
06/08/2022,"148.58","149.87","147.46","147.96","53950199"
06/07/2022,"144.35","149.00","144.10","148.71","67808148"
06/06/2022,"147.03","148.57","144.90","146.14","71598383"
06/03/2022,"146.90","147.97","144.46","145.38","88570289"
06/02/2022,"147.83","151.27","146.86","151.21","72348062"
06/01/2022,"149.90","151.74","147.68","148.71","74286641"
05/31/2022,"149.07","150.66","146.84","148.84","103718398"
05/27/2022,"145.39","149.68","145.26","149.64","90978492"
05/26/2022,"137.39","144.34","137.14","143.78","90601555"
05/25/2022,"138.43","141.79","138.34","140.52","92482703"
05/24/2022,"140.81","141.97","137.33","140.36","104132703"
05/23/2022,"137.79","143.26","137.65","143.11","117726305"
05/20/2022,"139.09","140.70","132.61","137.59","137426094"
05/19/2022,"139.88","141.66","136.60","137.35","136095594"
05/18/2022,"146.85","147.36","139.90","140.82","109742898"
05/17/2022,"148.86","149.77","146.68","149.24","78336250"
05/16/2022,"145.55","147.52","144.18","145.54","86643773"
05/13/2022,"144.59","148.11","143.11","147.11","113990898"
05/12/2022,"142.77","146.20","138.80","142.56","182602000"
05/11/2022,"153.50","155.45","145.81","146.50","142689797"
05/10/2022,"155.52","156.74","152.93","154.51","115366703"
05/09/2022,"154.93","155.83","151.49","152.06","131577906"
05/06/2022,"156.01","159.44","154.18","157.28","116124602"
05/05/2022,"163.85","164.08","154.95","156.77","130525297"
05/04/2022,"159.67","166.48","159.26","166.02","108256492"
05/03/2022,"158.15","160.71","156.32","159.48","88966531"
05/02/2022,"156.71","158.23","153.27","157.96","123055297"
04/29/2022,"161.84","166.20","157.25","157.65","131747594"
04/28/2022,"159.25","164.52","158.93","163.64","130216797"
04/27/2022,"155.91","159.79","155.38","156.57","88063195"
04/26/2022,"162.25","162.34","156.72","156.80","95623242"
04/25/2022,"161.12","163.17","158.46","162.88","96046383"
04/22/2022,"166.46","167.87","161.50","161.79","84882414"
04/21/2022,"168.91","171.53","165.91","166.42","87227766"
04/20/2022,"168.76","168.88","166.10","167.23","67929805"
04/19/2022,"165.02","167.82","163.91","167.40","67723828"
04/18/2022,"163.92","166.60","163.57","165.07","69023938"
04/14/2022,"170.62","171.27","165.04","165.29","75329375"
04/13/2022,"167.39","171.04","166.77","170.40","70618930"
04/12/2022,"168.02","169.87","166.64","167.66","79265188"
04/11/2022,"168.71","169.03","165.50","165.75","72246711"
04/08/2022,"171.78","171.78","169.20","170.09","76575516"
04/07/2022,"171.16","173.36","169.85","172.14","77594648"
04/06/2022,"172.36","173.63","170.13","171.83","89058781"
04/05/2022,"177.50","178.30","174.42","175.06","73401789"
04/04/2022,"174.57","178.49","174.44","178.44","76545984"
04/01/2022,"174.03","174.88","171.94","174.31","78751328"
